店名,カテゴリ,住所,連絡先,営業時間/定休日,画像
神山のラーメン居酒屋 どちらいか,居酒屋,〒771-3310 徳島県名西郡神山町神領北１９１−１,090-3989-8739,"日曜日	11時30分～13時30分
月曜日	定休日
火曜日	11時30分～13時30分, 18時00分～22時30分
水曜日	11時30分～13時30分, 18時00分～22時30分
木曜日	18時00分～22時30分
金曜日	11時30分～13時30分, 18時00分～22時00分
土曜日	11時30分～13時30分, 18時00分～22時30分",https://lh3.googleusercontent.com/p/AF1QipPXT7msYo03rGQ9_1vruzGu5DXXEdxWvze_mNWJ=s1360-w1360-h1020
B&Bオニヴァ&Experience(旧：カフェ オニヴァ),カフェ,〒771-3311 徳島県名西郡神山町神領西野間５−１,cafeonyva@icloud.com,予約に応じて営業,https://lh3.googleusercontent.com/p/AF1QipOy5YbEj0fjMdo-UAvuJdLW0svVjd3Mvg4_cYbU=s1360-w1360-h1020
レストランかわせみ,定食屋,〒771-3310 徳島県名西郡神山町神領本上角８０−２ 神山温泉 ホテル四季の里＆いやしの湯,088-676-1117,"日曜日	11時00分～19時00分
月曜日	11時00分～19時00分
火曜日	定休日
水曜日	11時00分～19時00分
木曜日	11時00分～19時00分
金曜日	11時00分～19時00分
土曜日	11時00分～19時00分",https://lh3.googleusercontent.com/p/AF1QipO_GFYm9_nJITN0puTpFhPRTaSfj6sfRlAdoOGA=s1360-w1360-h1020
句彩茶屋,うどん屋,〒771-3310 徳島県名西郡神山町神領国道４３８−号線,088-636-7077,"日曜日	11時00分～15時00分
月曜日	11時00分～15時00分
火曜日	11時00分～15時00分
水曜日	11時00分～15時00分
木曜日	11時00分～15時00分
金曜日	11時00分～15時00分
土曜日	11時00分～15時00分",https://lh3.googleusercontent.com/p/AF1QipP7MDp7uDyJCwIWXA7JPeEdm46sGSAarjG4LATX=s1360-w1360-h1020
焼肉梅里,焼肉店,〒771-3310 徳島県名西郡神山町神領本上角１６１−４,088-676-0340,"日曜日	11時30分～14時00分, 17時00分～21時00分
月曜日	定休日
火曜日	定休日
水曜日	11時30分～14時00分, 17時00分～21時00分
木曜日	11時30分～14時00分, 17時00分～21時00分
金曜日	11時30分～14時00分, 17時00分～21時00分
土曜日	11時30分～14時00分, 17時00分～21時00分",https://lh3.googleusercontent.com/p/AF1QipOWyOV1GSPBx2VIIu3rH8TTFZEsH8N-C58NC5tB=s1360-w1360-h1020
栗カフェ,カフェ,〒771-3310 徳島県名西郡神山町神領本上角１１８−,070-6638-2766,"日曜日	11時30分～16時00分
月曜日	11時30分～16時00分
火曜日	11時30分～16時00分
水曜日	11時30分～16時00分
木曜日	定休日
金曜日	定休日
土曜日	11時30分～16時00分",https://lh3.googleusercontent.com/p/AF1QipNjcj10qNsYqDghQ1S2lUX80jDeD0NJzoOrLgl-=s1360-w1360-h1020
茶房 松葉庵 麟角,喫茶店,〒771-3310 徳島県名西郡神山町神領北上角５８,088-676-1415,"日曜日	10時00分～18時00分
月曜日	10時00分～18時00分
火曜日	定休日
水曜日	10時00分～18時00分
木曜日	10時00分～18時00分
金曜日	10時00分～18時00分
土曜日	10時00分～18時00分",https://lh5.googleusercontent.com/p/AF1QipNEVQZMICLD7qkWQOfEsCX2uF7AjeYswzRVk1vm=w243-h174-n-k-no-nu
めし処 林商店,うどん屋,〒771-3310 徳島県名西郡神山町神領西青井夫27−４,090-7929-4998,"日曜日	11時00分～14時00分
月曜日	定休日
火曜日	11時00分～14時00分
水曜日	11時00分～14時00分
木曜日	定休日
金曜日	11時00分～14時00分
土曜日	11時00分～14時00分",https://lh3.googleusercontent.com/p/AF1QipNCatGU7x8-V28lkobDebV9_hAeksZrIoCfToX0=s1360-w1360-h1020
虎屋 壺中庵,懐石料理店,〒771-4102 徳島県名東郡佐那河内村上井開１,088-679-2305,"日曜日        12時00分～14時00分, 17時00分～20時00分
月曜日        12時00分～14時00分, 17時00分～20時00分
火曜日        12時00分～14時00分, 17時00分～20時00分
水曜日        12時00分～14時00分, 17時00分～20時00分
木曜日        12時00分～14時00分, 17時00分～20時00分
金曜日        12時00分～14時00分, 17時00分～20時00分
土曜日        12時00分～14時00分, 17時00分～20時00分",https://lh3.googleusercontent.com/p/AF1QipMD7KEg3iw5jw_uHPunDetGXhCpbiu4Ij-5TR4_=s1360-w1360-h1020
レストランこもれび,レストラン,〒771-3201 徳島県名西郡神山町阿野大地４５９,088-678-0114,"月　　11時00分～19時00分
火　　11時00分～19時00分
水　　11時00分～19時00分
木　　11時00分～19時00分
金　　11時00分～19時00分
土　　11時00分～19時00分
日　　11時00分～19時00分
第４火曜日　　定休日",https://kamiyama-spa.com/wp-content/uploads/2020/02/menu_01.jpg
豆ちよ焙煎所 COFFEE ROASTERY,焙煎珈琲店,所在地： 〒771-3311 徳島県名西郡神山町神領北85−３,080-8863-9090,"日曜日	12時00分～17時00分
月曜日	定休日
火曜日	12時00分～17時00分
水曜日	12時00分～17時00分
木曜日	12時00分～17時00分
金曜日	12時00分～17時00分
土曜日	12時00分～17時00分",https://lh3.googleusercontent.com/p/AF1QipNPpb5wJ99uY30tpKexJJynr9p6UXHthmpD9qFe=s1360-w1360-h1020
